original_title,release_date
Little Fockers,12/21/10
The Other Guys,8/6/10
Eraser,6/21/96
Django Unchained,12/25/12
The Hunchback of Notre Dame,6/21/96
The Emperor's New Groove,12/9/00
The Expendables 2,8/8/12
National Treasure,11/19/04
Eragon,12/14/06
Where the Wild Things Are,10/16/09
Epic,5/15/13
The Tourist,12/8/10
End of Days,11/24/99
Blood Diamond,12/7/06
The Wolf of Wall Street,12/25/13
Batman Forever,5/31/95
Starship Troopers,11/6/97
Cloud Atlas,10/26/12
Legend of the Guardians: The Owls of Ga'Hoole,7/10/10
Catwoman,7/22/04
Hercules,7/23/14
Treasure Planet,11/26/02
Land of the Lost,6/5/09
The Expendables 3,8/4/14
Point Break,12/3/15
Son of the Mask,2/18/05
In the Heart of the Sea,11/20/15
The Adventures of Pluto Nash,8/15/02
Green Zone,3/11/10
The Peanuts Movie,11/5/15
The Spanish Prisoner,9/8/97
The Mummy Returns,4/28/01
Gangs of New York,12/14/02
金陵十三釵,12/15/11
Surf's Up,6/8/07
The Stepford Wives,6/10/04
Black Hawk Down,12/28/01
The Campaign,8/9/12
The Fifth Element,5/7/97
Sex and the City 2,5/26/10
The Road to El Dorado,3/31/00
Ice Age: Continental Drift,6/26/12
Cinderella,3/12/15
The Lovely Bones,12/26/09
Finding Nemo,5/30/03
The Lord of the Rings: The Return of the King,12/1/03
The Lord of the Rings: The Two Towers,12/18/02
Seventh Son,12/12/14
Lara Croft: Tomb Raider,6/11/01
Transcendence,4/16/14
Jurassic Park III,7/18/01
Rise of the Planet of the Apes,8/3/11
The Spiderwick Chronicles,2/14/08
A Good Day to Die Hard,2/6/13
The Alamo,4/7/04
The Incredibles,11/5/04
Cutthroat Island,12/22/95
Percy Jackson & the Olympians: The Lightning Thief,2/1/10
Men in Black,7/2/97
Toy Story 2,10/30/99
Unstoppable,11/4/10
Rush Hour 2,8/3/01
What Lies Beneath,7/21/00
Cloudy with a Chance of Meatballs,9/17/09
Ice Age: Dawn of the Dinosaurs,6/29/09
The Secret Life of Walter Mitty,12/18/13
Charlie's Angels,11/2/00
The Departed,10/5/06
Mulan,6/18/98
Tropic Thunder,8/9/08
The Girl with the Dragon Tattoo,12/14/11
Die Hard: With a Vengeance,5/19/95
Sherlock Holmes,12/23/09
Ben-Hur,8/17/16
Atlantis: The Lost Empire,6/2/01
Alvin and the Chipmunks: The Road Chip,12/17/15
Valkyrie,12/25/08
You Don't Mess with the Zohan,6/5/08
Pixels,7/16/15
A.I. Artificial Intelligence,6/29/01
The Haunted Mansion,11/25/03
Contact,7/11/97
Hollow Man,8/4/00
The Interpreter,4/8/05
Percy Jackson: Sea of Monsters,8/7/13
Lara Croft Tomb Raider: The Cradle of Life,7/21/03
Now You See Me 2,6/2/16
The Saint,4/3/97
Spy Game,11/18/01
